"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","720","TC_SD_011_sortProductsByNameAToZ","SauceDemo Suite","Thu Oct 09 03:16:19 UTC 2025","passed","Thu Oct 09 03:16:20 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that a user can successfully log in with valid credentials and navigate to the products page","634","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Suite","Thu Oct 09 03:15:55 UTC 2025","passed","Thu Oct 09 03:15:56 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","21162","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Thu Oct 09 03:15:12 UTC 2025","broken","Thu Oct 09 03:15:33 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","21115","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Thu Oct 09 03:15:56 UTC 2025","broken","Thu Oct 09 03:16:17 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"Verify that a locked-out user cannot log in and receives the correct error message.","566","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Suite","Thu Oct 09 03:17:03 UTC 2025","passed","Thu Oct 09 03:17:04 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Verify that a user can complete the full checkout process from cart to the 'Checkout: Complete!' page.","21152","TC_SD_006_completeCheckoutFlow","SauceDemo Suite","Thu Oct 09 03:16:41 UTC 2025","broken","Thu Oct 09 03:17:03 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"Validate that item total, tax, and overall total are correctly calculated and displayed on the checkout overview page.","21142","TC_SD_012_verifyTotalsAndTaxOnOverview","SauceDemo Suite","Thu Oct 09 03:15:33 UTC 2025","broken","Thu Oct 09 03:15:55 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","TC_SD_012_verifyTotalsAndTaxOnOverview"
"Verify that leaving the 'Postal Code' field empty during checkout shows the correct validation error and prevents moving to the next step.","21118","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Suite","Thu Oct 09 03:17:28 UTC 2025","broken","Thu Oct 09 03:17:49 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"Verify that selecting 'Price (low to high)' from the sort dropdown correctly arranges products in ascending order by price.","1541","TC_SD_007_sortByPriceLowToHigh","SauceDemo Suite","Thu Oct 09 03:14:26 UTC 2025","passed","Thu Oct 09 03:14:27 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
"Verify that login with invalid password shows the correct error message and stays on login page","574","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Suite","Thu Oct 09 03:16:18 UTC 2025","passed","Thu Oct 09 03:16:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","1170","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Thu Oct 09 03:17:04 UTC 2025","passed","Thu Oct 09 03:17:05 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that adding a single item updates the cart badge and displays the item inside the cart.","21209","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Suite","Thu Oct 09 03:14:28 UTC 2025","broken","Thu Oct 09 03:14:49 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
"Verify that leaving the 'Last Name' field empty during checkout triggers the correct validation error message and prevents proceeding to the next step.","21088","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Suite","Thu Oct 09 03:17:06 UTC 2025","broken","Thu Oct 09 03:17:27 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","20734","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Thu Oct 09 03:16:20 UTC 2025","broken","Thu Oct 09 03:16:41 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","21145","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Suite","Thu Oct 09 03:14:50 UTC 2025","broken","Thu Oct 09 03:15:11 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
