"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo Automation","0","Security","1","0","Logout and access protection","0"
"0","SauceDemo Automation","0","Login","1","0","Login with valid credentials","0"
"0","SauceDemo Automation","0","Checkout","1","0","Negative checkout: missing Last Name field","0"
"0","SauceDemo Automation","0","Checkout","1","0","Complete checkout process successfully","0"
"0","SauceDemo Automation","0","Products","1","0","Sort products by price (Low → High)","0"
"0","SauceDemo Automation","0","Login","1","0","Login with invalid credentials","0"
"0","SauceDemo Automation","0","Checkout","1","0","Negative checkout: missing required field","0"
"0","SauceDemo Automation","0","Cart","1","0","Add a single product to cart","0"
"0","SauceDemo Automation","0","Cart","1","0","Remove item from cart","0"
"0","SauceDemo Automation","0","Login","1","0","Login with locked-out user account","0"
"0","SauceDemo Automation","0","Checkout","1","0","Negative checkout: missing Postal Code field","0"
"0","SauceDemo Automation","0","Products","1","0","Sort products alphabetically (A → Z)","0"
"0","SauceDemo Automation","0","Checkout","1","0","Verify totals and tax calculation on Checkout Overview","0"
"0","SauceDemo Automation","0","Cart","1","0","Cart state persists after navigation","0"
"0","SauceDemo Automation","0","Products","1","0","View product details and return to product list","0"
