"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1400","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Suite","Fri Aug 29 19:25:28 AEST 2025","passed","Fri Aug 29 19:25:30 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
"","1930","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Suite","Fri Aug 29 19:25:15 AEST 2025","passed","Fri Aug 29 19:25:17 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"","1835","loginWithValidCredentials_shouldNavigateToProducts","My Automation Suite","Mon Aug 25 17:38:48 AEST 2025","passed","Mon Aug 25 17:38:50 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","Login Functionality Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","loginWithValidCredentials_shouldNavigateToProducts"
"","13506","testRemoveItemFromCart","My Automation Suite","Tue Aug 26 16:46:52 AEST 2025","broken","Tue Aug 26 16:47:05 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","Cart Functionality Test","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","testRemoveItemFromCart"
"","2","setUp","My Automation Suite","Fri Aug 29 12:18:46 AEST 2025","broken","Fri Aug 29 12:18:46 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","Cart Functionality Test","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","setUp"
"","2117","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Fri Aug 29 19:25:12 AEST 2025","passed","Fri Aug 29 19:25:14 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"","2183","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Suite","Fri Aug 29 19:25:18 AEST 2025","passed","Fri Aug 29 19:25:20 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"","2511","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Fri Aug 29 19:25:30 AEST 2025","passed","Fri Aug 29 19:25:33 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"","1565","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Fri Aug 29 19:25:34 AEST 2025","passed","Fri Aug 29 19:25:35 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"","1175","loginWithLockedOutUser_shouldShowLockedOutError","My Automation Suite","Mon Aug 25 17:38:53 AEST 2025","passed","Mon Aug 25 17:38:54 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","Login Functionality Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","loginWithLockedOutUser_shouldShowLockedOutError"
"","1869","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Suite","Fri Aug 29 19:25:04 AEST 2025","passed","Fri Aug 29 19:25:06 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
