"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1249","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Suite","Fri Aug 29 16:48:00 AEST 2025","passed","Fri Aug 29 16:48:01 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"","1751","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Fri Aug 29 16:48:09 AEST 2025","passed","Fri Aug 29 16:48:11 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"","1804","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Fri Aug 29 16:47:45 AEST 2025","passed","Fri Aug 29 16:47:47 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"","2205","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Suite","Fri Aug 29 16:47:51 AEST 2025","passed","Fri Aug 29 16:47:53 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"","1926","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Suite","Fri Aug 29 16:47:54 AEST 2025","passed","Fri Aug 29 16:47:56 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"","2213","TC_SD_006_completeCheckoutFlow","SauceDemo Suite","Fri Aug 29 16:47:56 AEST 2025","passed","Fri Aug 29 16:47:59 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"","1652","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Suite","Fri Aug 29 16:47:43 AEST 2025","passed","Fri Aug 29 16:47:44 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"","1429","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Suite","Fri Aug 29 16:48:04 AEST 2025","passed","Fri Aug 29 16:48:05 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
"","2530","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Fri Aug 29 16:48:06 AEST 2025","passed","Fri Aug 29 16:48:08 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"","1642","TC_SD_007_sortByPriceLowToHigh","SauceDemo Suite","Fri Aug 29 16:48:12 AEST 2025","passed","Fri Aug 29 16:48:13 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
"","1299","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Suite","Fri Aug 29 16:48:02 AEST 2025","passed","Fri Aug 29 16:48:03 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"","1990","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Fri Aug 29 16:47:48 AEST 2025","passed","Fri Aug 29 16:47:50 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"","1850","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Suite","Fri Aug 29 16:47:40 AEST 2025","passed","Fri Aug 29 16:47:42 AEST 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
