"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","1886","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Suite","Wed Oct 08 21:39:38 AEDT 2025","failed","Wed Oct 08 21:39:40 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","1947","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Wed Oct 08 21:39:41 AEDT 2025","passed","Wed Oct 08 21:39:43 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","2485","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Wed Oct 08 21:40:07 AEDT 2025","passed","Wed Oct 08 21:40:09 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that a locked-out user cannot log in and receives the correct error message.","1545","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Suite","Wed Oct 08 21:40:02 AEDT 2025","passed","Wed Oct 08 21:40:03 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","2093","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Wed Oct 08 21:39:44 AEDT 2025","passed","Wed Oct 08 21:39:46 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","1790","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Wed Oct 08 21:40:10 AEDT 2025","passed","Wed Oct 08 21:40:12 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"Verify that leaving the 'Postal Code' field empty during checkout shows the correct validation error and prevents moving to the next step.","2252","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Suite","Wed Oct 08 21:39:50 AEDT 2025","passed","Wed Oct 08 21:39:52 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","1588","TC_SD_011_sortProductsByNameAToZ","SauceDemo Suite","Wed Oct 08 21:40:13 AEDT 2025","passed","Wed Oct 08 21:40:14 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that selecting 'Price (low to high)' from the sort dropdown correctly arranges products in ascending order by price.","1663","TC_SD_007_sortByPriceLowToHigh","SauceDemo Suite","Wed Oct 08 21:40:15 AEDT 2025","passed","Wed Oct 08 21:40:17 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
"Verify that a user can successfully log in with valid credentials and navigate to the products page","1467","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Suite","Wed Oct 08 21:40:04 AEDT 2025","passed","Wed Oct 08 21:40:06 AEDT 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
